episode_id,url,title,summary
27,https://www.thisamericanlife.org/27/the-cruelty-of-children,The Cruelty of Children,A story of youthful backstabbing by David Sedaris.
28,https://www.thisamericanlife.org/28/detectives,Detectives,David Sedaris recalls the days when his mother and sister played armchair detective.
29,https://www.thisamericanlife.org/29/bob-dole,Bob Dole,Unusual perspectives on the presumptive Republican nominee.
30,https://www.thisamericanlife.org/30/obsession,Obsession,What happens when a little idea starts to control you.
31,https://www.thisamericanlife.org/31/when-you-talk-about-music,When You Talk About Music,Stories of people whose lives are transformed by music.
32,https://www.thisamericanlife.org/32/republican-convention,Republican Convention,Unusual stories about day-to-day life at the Republican Convention.
33,https://www.thisamericanlife.org/33/a-night-at-the-wiener-circle,A Night at the Wiener Circle,Ira Glass spends a night at one of the most boisterous hot dog stands in the nation: Chicago's Wiener Circle.
34,https://www.thisamericanlife.org/34/democratic-convention,Democratic Convention,Unusual stories from the 1996 Democratic Convention in Chicago.
35,https://www.thisamericanlife.org/35/fall-clearance-sale,Fall Clearance Sale,"Stories that haven't fit into any of our regular ""theme"" shows."
36,https://www.thisamericanlife.org/36/letters,Letters,"We took out advertisements in Chicago inviting people to share letters they've received, sent, or found."
37,https://www.thisamericanlife.org/37/the-job-that-takes-over-your-life,The Job That Takes Over Your Life,"Scott Carrier got a job interviewing schizophrenics. After awhile, he began to wonder if he was a schizophrenic himself."
38,https://www.thisamericanlife.org/38/simulated-worlds,Simulated Worlds,"Civil War reenactments, wax museums, simulated coal mines, fake ethnic restaurants, an ersatz Medieval castle, and other re-created worlds that thrive all across America."
39,https://www.thisamericanlife.org/39/halloween,Halloween,"Stories of things that are supposed to be scary, but aren't."
40,https://www.thisamericanlife.org/40/lessons,Lessons,Spalding Gray on finding the zen of skiing.
41,https://www.thisamericanlife.org/41/politics,Politics,Stories of the election you can't hear anywhere else.
42,https://www.thisamericanlife.org/42/get-over-it,Get Over It!,Trying to forget the past and move on.
43,https://www.thisamericanlife.org/43/faustian-bargains,Faustian Bargains,People who made a deal with the devil.
44,https://www.thisamericanlife.org/44/poultry-slam-1996,Poultry Slam 1996,"Stories about turkeys, chickens, ducks, and fowl of all kinds."
45,https://www.thisamericanlife.org/45/media-fringe,Media Fringe,People struggling at the fringes of our nation's infotainment industry.
46,https://www.thisamericanlife.org/46/sissies,Sissies,"A family where the father was one kind of sissy and the son was another kind, and how the family was destroyed despite the fact that no one wanted it to be."
47,https://www.thisamericanlife.org/47/christmas-and-commerce,Christmas and Commerce,"The intersection of Christmas and retail, including David Sedaris's ""Santaland Diaries."""
48,https://www.thisamericanlife.org/48/justice,Justice,A portrait of Americans at the International Tribunal.
49,https://www.thisamericanlife.org/49/animals,Animals,"Stories about the animalness of animals, the irreducible ways in which they are not human."
50,https://www.thisamericanlife.org/50/shoulda-been-dead,Shoulda Been Dead,"A man decides to live as if he'll die in six months. That, and other stories of starting life over."
51,https://www.thisamericanlife.org/51/animals-die-people-ponder,"Animals Die, People Ponder",Stories of people who handle dead animals. (Don't worry—it's not as gross as it sounds.) Featuring a story by George Saunders.
52,https://www.thisamericanlife.org/52/edge-of-sanity,Edge of Sanity,Stories about the border between mental health and mental illness.
53,https://www.thisamericanlife.org/53/valentines-day-97,Valentine’s Day ‘97,Stories about our parents falling in love.
54,https://www.thisamericanlife.org/54/sinatra,Sinatra,"Stories, tributes, and attempts to understand the Chairman of the Board."
55,https://www.thisamericanlife.org/55/three-women-and-the-sex-industry,Three Women and the Sex Industry,Radio producer Sandy Tolan was supposed to do a documentary about strippers with an aspiring writer—and stripper—named Susan. But then Susan disappeared.
56,https://www.thisamericanlife.org/56/name-change,Name Change,Name changes are particularly American stories: they're the dream of starting over with a clean slate.
57,https://www.thisamericanlife.org/57/delivery,Delivery,"Stories about the delivery business and the people in it: UPS men, bike messengers, FedEx dispatchers."
58,https://www.thisamericanlife.org/58/small-towns,Small Towns,"The claustrophobia, freedom, and yearning people feel in small towns."
59,https://www.thisamericanlife.org/59/fire,Fire,"Stories about people who are not afraid of fire, though perhaps they should be."
60,https://www.thisamericanlife.org/60/business-of-death,Business of Death,"Stories of people for whom death is a job—undertakers, homicide detectives, slaughterhouse workers, and others."
61,https://www.thisamericanlife.org/61/fiasco,Fiasco! (1997),Stories of when things go wrong. Really wrong.
62,https://www.thisamericanlife.org/62/something-for-nothing,Something for Nothing,Twenty-four people put one hand on a Hardbody pickup truck and wait...until only one person is left standing. Plus other stories of people trying to get rich quick.
63,https://www.thisamericanlife.org/63/one-thing,One Thing,"A man tries to run for President as a utopian nudist, and other stories of people whose lives are organized around one thing."
64,https://www.thisamericanlife.org/64/summer,Summer,"We want summer to be this wonderful break, but so often it fails to deliver."
65,https://www.thisamericanlife.org/65/whos-canadian,Who's Canadian?,Canadians claim they're no different from red-blooded Americans. We put their position to the test.
66,https://www.thisamericanlife.org/66/tales-from-the-net,Tales from the Net,"Listeners sent us samples of what they're finding on the internet, including postings from Usenet groups, favorite web pages, and their own email."
67,https://www.thisamericanlife.org/67/your-dream-my-nightmare,"Your Dream, My Nightmare",An interracial couple takes a plantation tour. And other stories in which someone's dream is someone else's nightmare.
68,https://www.thisamericanlife.org/68/lincolns-second-inaugural,Lincoln's Second Inaugural,"We look at the legacy of the most moving, poetic inaugural speech in American history."
69,https://www.thisamericanlife.org/69/dream-house,Dream House,"Parents moving the family to some new place, hoping it works out for the kids."
70,https://www.thisamericanlife.org/70/other-peoples-mail,Other People's Mail,"Four stories of people who read other people's mail, and what happens to them once they get caught up in these other lives."
71,https://www.thisamericanlife.org/71/defying-sickness,Defying Sickness,A man goes on a last big trip with his father who has Alzheimer's.
72,https://www.thisamericanlife.org/72/trek,Trek,"The story of two Americans—one white, one black—who go to South Africa and have very different opinions about what they find."
73,https://www.thisamericanlife.org/73/blame-it-on-art,Blame It on Art,"Mona LisaThe darker side of the art world: petty jealousies, competitiveness, failure."
74,https://www.thisamericanlife.org/74/conventions,Conventions,"What happens when people with a common interest gather in fluorescent-lit halls? Sometimes they drive each other crazy, sometimes they fall in love."
75,https://www.thisamericanlife.org/75/kindness-of-strangers,Kindness of Strangers,"A locksmith tells the story of an act of kindness he committed, hoping for a small reward. That, and other stories of kindness in New York City."
76,https://www.thisamericanlife.org/76/mob,Mob,"The mob as portrayed in movies, and as it is in real life. And its hold over us."
77,https://www.thisamericanlife.org/77/pray,Pray,Can the secular world and the religious world understand each other?
78,https://www.thisamericanlife.org/78/how-bad-is-bad,How Bad Is Bad?,Ira Glass talks to three teenage boys who buy computer equipment using stolen credit card numbers. And other stories.
79,https://www.thisamericanlife.org/79/stuck-in-the-wrong-decade,Stuck in the Wrong Decade,"People stuck in the wrong decade, or simply carrying a lot of the props from another decade."
80,https://www.thisamericanlife.org/80/running-after-antelope,Running After Antelope,Scott Carrier with the latest installment in his 12-year quest to chase down and catch an antelope.
81,https://www.thisamericanlife.org/81/guns,Guns,"Americans who love their guns, and the Americans who love them."
82,https://www.thisamericanlife.org/82/haunted,Haunted,"Stories of people who are haunted, not by ghosts or phantoms, but by other people."
83,https://www.thisamericanlife.org/83/one-of-us,One of Us,"Stories of outsiders who want to be insiders, and vice versa."
84,https://www.thisamericanlife.org/84/harold,Harold,The story of Harold Washington and the white backlash that was set off when he became Chicago's first black mayor.
85,https://www.thisamericanlife.org/85/poultry-slam-1997,Poultry Slam 1997,Chickens and turkeys are a mirror of ourselves.
86,https://www.thisamericanlife.org/86/how-to-take-money-from-strangers,How to Take Money from Strangers,A con man who's so good he's thanked.
87,https://www.thisamericanlife.org/87/a-very-special-sedaris-christmas,A Very Special Sedaris Christmas,Holiday stories from David Sedaris and Julia Sweeney.
88,https://www.thisamericanlife.org/88/numbers,Numbers,People trying to use numbers to describe things that should not be quantified.
89,https://www.thisamericanlife.org/89/sibling-rivalry,Sibling Rivalry,Stories about people who are destined to fight: brothers and sisters.
90,https://www.thisamericanlife.org/90/telephone,Telephone,"The story of a teenager, illegal drug use, lying, stealing, and a kid's life changed completely when he heard how he sounded on the phone."
91,https://www.thisamericanlife.org/91/escape-the-box,Escape the Box,"Stories of people trying to escape the box of their own lives, and create new lives."
92,https://www.thisamericanlife.org/92/leave-the-mask-on,Leave the Mask On,When someone tries to tell you a little bit more about themselves than you'd really rather know.
93,https://www.thisamericanlife.org/93/valentines-day-98,Valentine’s Day ’98,Stories about couples that all take place decades after that moment their eyes first meet.
94,https://www.thisamericanlife.org/94/how-to,How To,Ira teaches Sarah Vowell how to drive with some advice from the hosts of Car Talk.
95,https://www.thisamericanlife.org/95/monogamy,Monogamy,"Stories of people struggling to redefine monogamy, to stay monogamous, and what we should make of these ad hoc experiments in everyday life."
96,https://www.thisamericanlife.org/96/pinned-by-history,Pinned by History,"Stories of people who were lifted out of everyday life, thrown into much bigger events, and how that made sense of what they did years after the fact."
97,https://www.thisamericanlife.org/97/death-to-wacky,Death to Wacky,"David Sedaris tells true stories of photographers who try to take pictures of him which will make him seem ""wacky."" That, and other stories of wackiness."
98,https://www.thisamericanlife.org/98/throwing-the-first-punch,Throwing the First Punch,"Stories about what it means to be a person who throws the first punch, and how hard it is to give up."
99,https://www.thisamericanlife.org/99/i-enjoy-being-a-girl-sort-of,"I Enjoy Being A Girl, Sort Of",Variations on what it means to be a girl and what it means to be a woman.
100,https://www.thisamericanlife.org/100/radio,Radio,"A radio show about what makes radio so great, and what makes it so terrible."
101,https://www.thisamericanlife.org/101/niagara,Niagara,The story of a town that started with something huge—the falls—and built nothing lasting from it.
102,https://www.thisamericanlife.org/102/road-trip,Road Trip!,"With so many songs, movies, and books about the joy of the open road, it's hard to take just a normal road trip without huge expectations."
103,https://www.thisamericanlife.org/103/scenes-from-a-transplant,Scenes from A Transplant,"An NPR reporter leaves her three-year-old son and heads to Omaha—for cancer treatment, and a last chance to save her life."
104,https://www.thisamericanlife.org/104/music-lessons,Music Lessons,"David Sedaris and Sarah Vowell on what's frustrating about music lessons, what's miraculous about them, and what they actually teach us."
105,https://www.thisamericanlife.org/105/take-a-negro-home,Take A Negro Home,"Two stories of people who try to cross the color line, and why it's still so hard."
106,https://www.thisamericanlife.org/106/fathers-day-98,Father’s Day ‘98,Stories in which fathers and their kids sit down and try to have an honest moment together.
107,https://www.thisamericanlife.org/107/trail-of-tears,Trail of Tears (1998),Sarah Vowell re-traces the route her Cherokee ancestors took when expelled from their own land by President Andrew Jackson.
108,https://www.thisamericanlife.org/108/truth-and-lies-at-age-ten,Truth and Lies at Age Ten,A woman who'd been diagnosed with cystic fibrosis talks about the lies she told herself as a child.
109,https://www.thisamericanlife.org/109/notes-on-camp,Notes on Camp,We attempt to bridge the gap of misunderstanding between camp people and non-camp people.
110,https://www.thisamericanlife.org/110/mapping,Mapping,The world redrawn by the five senses.
111,https://www.thisamericanlife.org/111/adventures-in-the-simple-life,Adventures in the Simple Life,I thought this was supposed to be easy.
112,https://www.thisamericanlife.org/112/ladies-and-germs,Ladies and Germs,How irrational fear of germs means that you aren't going to get good apple cider in your local supermarket this fall.
113,https://www.thisamericanlife.org/113/windfall,Windfall,What happens when you suddenly strike it rich?
114,https://www.thisamericanlife.org/114/last-words,Last Words,Stories of people's last words before death.
115,https://www.thisamericanlife.org/115/first-day,First Day,"A rookie cop and a squirrel, and other stories of first days on the job."
116,https://www.thisamericanlife.org/116/poultry-slam-1998,Poultry Slam 1998,"Our annual program about turkeys, chickens, and fowl of all types."
117,https://www.thisamericanlife.org/117/you-gonna-eat-that,You Gonna Eat That?,The family table is stage on which many family dramas are played out.
118,https://www.thisamericanlife.org/118/what-you-lookin-at,What You Lookin’ At?,"Stories about seeing and being seen, taped before a live audience in Town Hall in New York City."
119,https://www.thisamericanlife.org/119/lockup,Lockup,"Stories of the lives of prisoners in the United States, and the lives of their families."
120,https://www.thisamericanlife.org/120/be-careful-who-you-pretend-to-be,Be Careful Who You Pretend to Be,"Three stories of people pretending to be something they're not, and what happens to them."
121,https://www.thisamericanlife.org/121/twentieth-century-man,Twentieth Century Man,What happens if you're too good at throwing everything out and starting over?
122,https://www.thisamericanlife.org/122/valentines-day-99,Valentine’s Day ’99,Stories of impossible love and heartbreak.
123,https://www.thisamericanlife.org/123/high-cost-of-living,High Cost of Living,Stories of people who choose not to live every moment to the fullest or smell the roses.
124,https://www.thisamericanlife.org/124/welcome-to-america,Welcome to America,Stories of people moving to this country: what they see and hear that those of us who were born here don't.
125,https://www.thisamericanlife.org/125/apocalypse,Apocalypse,Fundamentalist Christians and Orthodox Jews are combining forces to breed a perfect red cow that could bring about the end of the world.
126,https://www.thisamericanlife.org/126/do-gooders,Do-Gooders,"Two do-gooders try to change things in their hometown for the better. But the more they try, the more people resent them."
127,https://www.thisamericanlife.org/127/pimp-anthropology,Pimp Anthropology,"A former pimp tells how he and three childhood friends became pimps in the 1970s in Oakland, California."
128,https://www.thisamericanlife.org/128/four-corners,Four Corners,We try to tell the story of life in America through portraits of life in four different states across the nation.
129,https://www.thisamericanlife.org/129/advice,Advice,What if you asked people for advice and actually took ALL of the advice that everyone gave you? Sarah Vowell tried exactly that.
130,https://www.thisamericanlife.org/130/away-from-home,Away From Home,Stories of people going home to places they've never been before.
131,https://www.thisamericanlife.org/131/the-kids-are-alright,The Kids Are Alright,"Stories in which young people take matters into their own hands, broadcast for the tenth anniversary of the crackdown at Tiananmen Square."
132,https://www.thisamericanlife.org/132/fathers-day-99,Father’s Day ‘99,"Photographer Joel Meyerowitz goes on a last big trip with his father, who has Alzheimer's, and his son."
133,https://www.thisamericanlife.org/133/sales,Sales,"We accompany a Hollywood screenwriter as he tries to sell a movie idea and find ourselves asking, is the art of commerce better than the art of art?"
134,https://www.thisamericanlife.org/134/we-didnt,We Didn’t,"It turns out that not falling in love, not doing our jobs, not spending time with our families is every bit as vivid and complicated an experience as doing something."
135,https://www.thisamericanlife.org/135/allure-of-crime,Allure of Crime,"Through our crimes, we express who we are."
136,https://www.thisamericanlife.org/136/you-are-here,You Are Here,"Three stories, three people, and three sets of maps."
137,https://www.thisamericanlife.org/137/the-book-that-changed-your-life,The Book That Changed Your Life,We want to believe our lives can be changed by a set of ideas contained in a book.
138,https://www.thisamericanlife.org/138/the-real-thing,The Real Thing,"Stories of people drawn to some idea, some picture, some ""thing"" that they just want to be."
139,https://www.thisamericanlife.org/139/ghosts-of-elections-past,Ghosts of Elections Past,Stories designed to provide some small sense of hope about American politics.
140,https://www.thisamericanlife.org/140/family-business,Family Business,What happens when the tension of family dynamics collides with the pressure of capitalist market forces.
141,https://www.thisamericanlife.org/141/invisible-worlds,Invisible Worlds,Stories of people who are trying to make invisible worlds visible.
142,https://www.thisamericanlife.org/142/barbara,Barbara,We hear the story of one African-American single mother who recorded her family's life over the course of seven months.
143,https://www.thisamericanlife.org/143/sentencing,Sentencing,Have mandatory minimum sentences gone too far?
144,https://www.thisamericanlife.org/144/where-words-fail,Where Words Fail,People struggle to invent words adequate to cope with death.
145,https://www.thisamericanlife.org/145/poultry-slam-1999,Poultry Slam 1999,"Our annual program about turkeys, chickens, fowl of all types, and their mysterious hold over our imaginations."
146,https://www.thisamericanlife.org/146/urban-nature,Urban Nature,"David Rakoff visits Iceland, where the government is careful not to disturb certain boulders because some people believe that elves live there."
147,https://www.thisamericanlife.org/147/a-teenagers-guide-to-god,A Teenager's Guide to God,Oh faithless and perverse generation? How long shall I be with you? How long shall I bear with you?—Matthew 17.
148,https://www.thisamericanlife.org/148/the-angels-wanna-wear-my-red-suit,The Angels Wanna Wear My Red Suit,"The many, many different versions of Santa Claus."
149,https://www.thisamericanlife.org/149/bedside-diplomacy,Bedside Diplomacy,"In the hospital, we're in a place that has its own rules and its own language and its own customs."
150,https://www.thisamericanlife.org/150/kids-as-adults,Kids As Adults,Stories of kids trying to act like adults—some by choice—some because they're forced to.
151,https://www.thisamericanlife.org/151/primary,Primary,Stories from the New Hampshire primary. We hear from voters who've found candidates they love. And we hear what those voters are seeing that the rest of us aren't.
152,https://www.thisamericanlife.org/152/crush,Crush,"What if you held onto a high-school crush? Under what conditions would it never go away? Tobias Wolff reads a short story called ""Kiss."""
153,https://www.thisamericanlife.org/153/dolls,Dolls,"The story of the book The Lonely Doll and its author, and how the author's life came to resemble something from her book."
154,https://www.thisamericanlife.org/154/in-dog-we-trust,In Dog We Trust (2000),Exactly how much are the animals that live in our home caught up in everyday family dynamics?
155,https://www.thisamericanlife.org/155/hoaxing-yourself,Hoaxing Yourself (2000),Stories of people who tell a lie and then believe the lie more than anyone else does.
156,https://www.thisamericanlife.org/156/what-remains,What Remains,"Stories of people revisiting what happened, and who they were back when."
157,https://www.thisamericanlife.org/157/secret-life-of-daytime,Secret Life of Daytime,"All those people you see in the middle of the workday, in coffee shops and bookstores—why aren't they at work?"
158,https://www.thisamericanlife.org/158/mob-mentality,Mob Mentality,"The pleasure and the terror of being in a rampaging, angry mob."
159,https://www.thisamericanlife.org/159/mothers-day,Mother’s Day,"Stories of moms: How they treat us, how we treat them."
160,https://www.thisamericanlife.org/160/character-assassination,Character Assassination,David Foster Wallace reports on a turning point in the 2000 presidential primary.
161,https://www.thisamericanlife.org/161/million-bubbles,Million Bubbles,A look at what's going on inside the individual glass and steel worlds of our cars.
162,https://www.thisamericanlife.org/162/moving,Moving,Stories of people who did not want to move but circumstance forced their hands.
163,https://www.thisamericanlife.org/163/can-you-fight-city-hallif-you-are-city-hall,Can You Fight City Hall…If You Are City Hall?,"Stories of people who stand up alone for what's right, damn the consequences."
164,https://www.thisamericanlife.org/164/crime-scene,Crime Scene (2000),Crime scenes and the stories they tell.
165,https://www.thisamericanlife.org/165/americans-in-paris,Americans in Paris,David Sedaris takes Ira on a tour of his favorite spots in Paris.
166,https://www.thisamericanlife.org/166/nobodys-family-is-going-to-change,Nobody's Family Is Going to Change,Does anyone's family ever change?
167,https://www.thisamericanlife.org/167/memo-to-the-people-of-the-future,Memo to the People of the Future,Stories of people who are trying to control how they'll be seen by generations to come.
168,https://www.thisamericanlife.org/168/the-fix-is-in,The Fix Is In,We go inside the back rooms of one multinational corporation and hear the intricate workings of how they put the fix in.
169,https://www.thisamericanlife.org/169/pursuit-of-happiness,Pursuit of Happiness,What does it mean to grow up in a country with an inalienable right to pursue happiness?
170,https://www.thisamericanlife.org/170/immigration,Immigration,"We look at a 1996 immigration law that is too obscure for most of us to have heard of, but which affects tens of thousands of lives in huge ways."
171,https://www.thisamericanlife.org/171/election,Election,"Stories for the eve of the 2000 presidential election, in which we try to look beneath the candidates' soundbites."
172,https://www.thisamericanlife.org/172/24-hours-at-the-golden-apple,24 Hours at the Golden Apple,One day in a Chicago diner.
173,https://www.thisamericanlife.org/173/three-kinds-of-deception,Three Kinds of Deception,"A story of self-deception, a story about deceiving others, and a story about accidental deception."
174,https://www.thisamericanlife.org/174/birthdays-anniversaries-and-milestones,"Birthdays, Anniversaries, and Milestones",A live show taped for our fifth anniversary.
175,https://www.thisamericanlife.org/175/babysitting,Babysitting,"A brother and sister decide to invent children to babysit, as an excuse to get out of their own house."
176,https://www.thisamericanlife.org/176/two-nations-one-president,"Two Nations, One President","Democrats explain why they're having trouble getting over the 2001 election, and Republicans explain why this is so infuriating."
177,https://www.thisamericanlife.org/177/american-limbo,American Limbo,Stories of people living completely outside the grid of American life.
178,https://www.thisamericanlife.org/178/superpowers,Superpowers,Which is better: flight or invisibility?
179,https://www.thisamericanlife.org/179/cicero,Cicero,"The story of what was, at one time, one of most notoriously racist and corrupt suburbs in America."
180,https://www.thisamericanlife.org/180/return-to-childhood,Return to Childhood 2001,"Alex Blumberg tries to find a woman who babysat him when he was nine, and other stories of people trying to revisit their childhoods."
181,https://www.thisamericanlife.org/181/the-friendly-man,The Friendly Man,"Stories from Scott Carrier, whose strange and compelling tales sound like nothing else on the radio."
182,https://www.thisamericanlife.org/182/cringe,Cringe,"Tales of personal humiliation, romance gone wrong, and people who profoundly misjudge how they're perceived by others."
183,https://www.thisamericanlife.org/183/the-missing-parents-bureau,The Missing Parents Bureau,Women planning to get pregnant with the help of a sperm bank tell us about the questions they wrestle with of how much they want to know about the fathers of their kids.
184,https://www.thisamericanlife.org/184/neighbors,Neighbors,"An average Chicagoan decides to appeal the disputes and problems in his neighborhood to a higher authority, Mr. Rogers. Yes, that Mr. Rogers."
185,https://www.thisamericanlife.org/185/golden-calf,Golden Calf,"Stories of people worshiping false idols, and whether that's always a bad thing."
186,https://www.thisamericanlife.org/186/prom,Prom,"While the seniors danced at Prom Night 2001 in Hoisington, Kansas—a town of about 3,000—a tornado hit the town."
187,https://www.thisamericanlife.org/187/fathers-day-01,Father's Day '01,Stories of dads who are utterly human in scale.
188,https://www.thisamericanlife.org/188/kid-logic,Kid Logic (2001),"Stories of kids using perfectly logical arguments, and arriving at perfectly wrong conclusions."
189,https://www.thisamericanlife.org/189/hitlers-yacht,Hitler’s Yacht,"A modern-day fable about what happens when the free market, the media, the World War II buffs, the Neo-Nazis, and the Jews all collide over a huge Nazi tourist trap."
190,https://www.thisamericanlife.org/190/living-the-dream,Living the Dream,There's a deep impulse in American culture that says that you can make yourself into anyone.
191,https://www.thisamericanlife.org/191/i-know-what-you-did-this-summer,I Know What You Did This Summer,"Scott Carrier travels cross-country without air conditioning, during weather in which it's too hot to stay in the car and too hot to get out."
192,https://www.thisamericanlife.org/192/meet-the-pros,Meet the Pros,The story of one man's journey from obscurity to international professional celebrity.
193,https://www.thisamericanlife.org/193/stories-of-loss,Stories of Loss,A collection of stories in which people try to make sense of loss.
194,https://www.thisamericanlife.org/194/before-and-after,Before and After,"Stories in the wake of the events of September 11, 2001."
195,https://www.thisamericanlife.org/195/war-stories,War Stories,We try to sort out what the war in Afghanistan will be like.
196,https://www.thisamericanlife.org/196/rashomon,Rashomon,"The events of September 11th, and how its meaning changes depending on who you talk to."
197,https://www.thisamericanlife.org/197/before-it-had-a-name,Before It Had A Name,"In 1946, a man started to investigate the Holocaust before it was known as the Holocaust, gathering the first recorded testimonials of concentration camp survivors."
198,https://www.thisamericanlife.org/198/how-to-win-friends-and-influence-people,How to Win Friends and Influence People,People climbing to be number one. How do they do it?
199,https://www.thisamericanlife.org/199/house-on-loon-lake,House on Loon Lake,"A young boy, an abandoned house, and the mysterious family who disappeared without a trace."
200,https://www.thisamericanlife.org/200/hearts-and-minds,Hearts and Minds,"Of all the wars to win, perhaps the propaganda war is the hardest."
201,https://www.thisamericanlife.org/201/them,Them,"In a time of war, when we're all feeling a heightened sense of ""us"" and ""them,"" we wanted to take up the problem of ""them."""
202,https://www.thisamericanlife.org/202/faith,Faith,"Stories of faith: losing it, talking about it, constructing it, and working within it."
203,https://www.thisamericanlife.org/203/recordings-for-someone,Recordings for Someone,Personal recordings one person made for just one other person.
204,https://www.thisamericanlife.org/204/81-words,81 Words,How the American Psychiatric Association decided that homosexuality was no longer a mental illness.
205,https://www.thisamericanlife.org/205/plan-b,Plan B,"There's the thing you plan to do, and then there's the thing you end up doing."
206,https://www.thisamericanlife.org/206/somewhere-in-the-arabian-sea,Somewhere in the Arabian Sea,Life aboard an aircraft carrier stationed in the Arabian Sea supporting bombing missions over Afghanistan.
207,https://www.thisamericanlife.org/207/special-ed,Special Ed,Stories about people who were told that they're different.
208,https://www.thisamericanlife.org/208/office-politics,Office Politics,Stories of high drama from our nation's workplaces.
209,https://www.thisamericanlife.org/209/didnt-ask-to-be-born,Didn’t Ask to Be Born,"The story of an eighth grader who set himself on fire, and what led to that."
210,https://www.thisamericanlife.org/210/perfect-evidence,Perfect Evidence,"DNA evidence isn't just proving wrongdoing by criminals, it's proving wrongdoing by police and prosecutors."
211,https://www.thisamericanlife.org/211/naming-names,Naming Names,"When you turn someone over to the authorities, it can set into motion lots of huge, unintended consequences."
212,https://www.thisamericanlife.org/212/the-other-man,The Other Man,Stories about what happens when a new guy comes on the scene and changes everything.
213,https://www.thisamericanlife.org/213/devil-on-my-shoulder,Devil on My Shoulder,"Stories of people who try to convince you that the devil is there, whispering in your ear."
214,https://www.thisamericanlife.org/214/family-physics,Family Physics,We take the laws of physics and apply them to the realm of human relationships.
215,https://www.thisamericanlife.org/215/ask-an-expert,Ask An Expert,Stories about people who turned to the experts and got horrible advice.
216,https://www.thisamericanlife.org/216/give-the-people-what-they-want,Give the People What They Want,Ira Glass goes to a fake wedding at a home for Alzheimer's patients.
217,https://www.thisamericanlife.org/217/give-it-to-them,Give It to Them,"Two years after the Mideast peace process collapsed, we wanted to understand what that has done to people living in Israel and the West Bank."
218,https://www.thisamericanlife.org/218/act-v,Act V,A group of inmates at a high-security prison stage a production of the last act of Hamlet.
219,https://www.thisamericanlife.org/219/high-speed-chase,High Speed Chase,What happened after a group of Native American girls from one town found themselves being chased down the highway by a group of white boys from another town.
220,https://www.thisamericanlife.org/220/testosterone,Testosterone,The pros and cons of the hormone of desire.
221,https://www.thisamericanlife.org/221/fake-id,Fake I.D.,"Stories of people traveling under false identities, not for power or personal gain, but for their own deeper personal reasons."
